#MASS_MEV  DEG  DEGEFF  MU  BF  ANTI  KEY                  NAME                 PDGCODES...
#--------  ---  ------  --  --  ----  ---                  ----                 -----------
  2190.00    8       0   0   1     1  NBAR_2190            N(2190)bar           -1218
  2190.00    8       0   0   1     1  NBAR_2190            N(2190)bar           -2128
  2286.46    2       0   0   1     0  LAMBDAC              Lambda_c             4122
  2286.46    2       0   0   1     1  LAMBDACBAR           Lambda_cbar          -4122
  2317.80    1       0   0   2     0  DSTAR0S              D*_0s                10431
  2317.80    1       0   0   2     1  DSTAR0SBAR           D*_0sbar             -10431
  2318.00    1       0   0   2     0  DSTAR0               D*_0                 10411
  2318.00    1       0   0   2     0  DSTAR00              D*_00                10421
  2318.00    1       0   0   2     1  DSTAR0BAR            D*_0bar              -10411
  2318.00    1       0   0   2     1  DSTAR0BAR            D*_0bar              -10421
  2421.30    3       0   0   2     0  D10                  D_10                 10423
  2421.30    3       0   0   2     1  D1BAR                D_1bar               -10423
  2424.00    3       0   0   2     0  D1                   D_1                  10413
  2424.00    3       0   0   2     1  D1BAR                D_1bar               -10413
  2427.00    3       0   0   2     0  DSTAR1               D*_1                 20413
  2427.00    3       0   0   2     0  DSTAR10              D*_10                20423
  2427.00    3       0   0   2     1  DSTAR1BAR            D*_1bar              -20413
  2427.00    3       0   0   2     1  DSTAR1BAR            D*_1bar              -20423
  2452.90    2       0   0   1     0  SIGMAC               Sigma_c              4212
  2452.90    2       0   0   1     1  SIGMACBAR            Sigma_cbar           -4212
  2453.74    2       0   0   1     0  SIGMAC0              Sigma_c0             4112
  2453.74    2       0   0   1     1  SIGMACBAR            Sigma_cbar           -4112
  2453.98    2       0   0   1     0  SIGMAC               Sigma_c++            4222
  2453.98    2       0   0   1     1  SIGMACBAR_BAR        Sigma_cbar--bar      -4222
  2459.60    3       0   0   2     0  DSTAR1S              D*_1s                20433
  2459.60    3       0   0   2     1  DSTAR1SBAR           D*_1sbar             -20433
  2462.60    5       0   0   2     0  DSTAR2_2460          D*_2(2460)           425
  2462.60    5       0   0   2     1  DSTAR2BAR_2460       D*_2(2460)bar        -425
